StateAbbr,PlaceName,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
FL,Coral Springs,27.3,5.7,4.7,16.2,9.0,34.4,26.6,36.8,9.9
FL,Davie,27.0,6.0,5.0,15.8,9.0,35.2,25.7,35.5,9.8
FL,Deerfield Beach,36.6,8.2,8.2,19.4,12.8,40.3,29.1,37.8,14.6
FL,Deltona,32.5,6.4,6.9,20.3,11.6,38.2,29.6,37.0,14.8
FL,Fort Lauderdale,34.0,6.9,6.8,18.8,11.8,38.1,29.4,37.9,12.1
FL,Gainesville,21.6,4.1,4.1,18.7,6.9,27.7,24.4,34.9,13.5
FL,Hialeah,33.9,5.6,8.8,16.6,17.1,41.6,30.6,35.9,15.6
FL,Hollywood,32.5,6.8,6.7,17.8,11.8,38.4,29.1,37.2,12.0
FL,Jacksonville,33.3,5.9,6.0,20.5,10.6,35.5,31.2,37.9,15.9
FL,Lakeland,36.3,8.1,8.9,19.1,13.3,40.3,32.0,36.0,16.7
FL,Largo,36.1,9.0,9.2,20.9,12.1,39.0,26.1,35.4,16.5
FL,Lauderhill,39.9,6.1,7.0,22.7,15.0,37.1,35.6,45.4,17.9
FL,Melbourne,32.9,7.9,7.7,19.0,11.2,39.6,30.0,36.5,15.0
FL,Miami,32.5,5.3,7.8,18.1,15.0,38.3,29.7,37.0,16.9
FL,Miami Beach,27.0,5.8,6.0,14.6,10.2,34.9,24.4,32.9,10.2
FL,Miami Gardens,37.6,5.1,6.7,22.4,14.7,35.8,33.3,43.6,18.0
FL,Miramar,28.6,4.5,4.0,15.5,10.3,31.9,29.9,40.6,10.8
FL,Orlando,29.3,4.9,5.2,18.8,10.0,33.4,26.4,36.5,16.4
FL,Palm Bay,33.5,7.0,7.3,21.3,12.0,39.4,33.1,39.0,16.0
FL,Palm Coast,37.4,8.6,8.6,18.3,12.3,40.9,28.1,34.0,13.9
FL,Pembroke Pines,30.3,6.5,5.8,13.5,11.0,36.1,26.7,36.1,11.5
FL,Plantation,29.4,6.8,5.3,14.7,9.5,35.5,25.9,35.6,9.1
FL,Pompano Beach,36.7,7.7,8.1,20.8,13.1,40.3,30.5,38.7,14.5
FL,Port St. Lucie,32.3,7.2,7.4,20.2,11.4,36.7,28.9,36.5,14.2
FL,St. Petersburg,32.5,7.0,6.9,20.9,11.1,34.6,27.4,37.8,15.4
FL,Sunrise,33.3,6.7,6.5,17.1,12.0,37.1,29.0,38.4,13.2
FL,Tallahassee,23.3,4.4,4.0,18.9,7.3,27.5,27.4,36.5,12.1
FL,Tampa,30.6,5.4,5.8,19.9,11.1,33.8,27.1,37.9,16.8
